21,021 Clonegall,Carlow,SE,South-East,Southern,841,897,55,58,0,4,0,0,5,10,3,6,904,975,93.03,92,6.08,5.95,0,0.41,0,0,0.55,1.03,0.33,0.62,844,919,33,37,0,5,0,0,7,9,4,2,16,3,904,975,93.36,94.26,3.65,3.79,0,0.51,0,0,0.77,0.92,0.44,0.21,1.77,0.31,851,921,1,0,33,41,0,1,2,1,4,8,13,3,904,975,94.14,94.46,0.11,0,3.65,4.21,0,0.1,0.22,0.1,0.44,0.82,1.44,0.31,804,870,65,58,25,46,11,4,905,978,88.84,88.96,7.18,5.93,2.76,4.7,1.22,0.41,828,931,28,11,33,15,5,5,894,962,92.62,96.78,3.13,1.14,3.69,1.56,0.56,0.52,41,27,10,1,0,3,65.85,24.39,2.44,0,7.32,41,5,20,0,16,12.2,48.78,0,39.02
22,022 Corries,Carlow,SE,South-East,Southern,460,483,32,27,0,0,0,0,2,6,6,9,500,525,92,92,6.4,5.14,0,0,0,0,0.4,1.14,1.2,1.71,464,496,32,21,0,0,0,0,0,3,2,4,2,1,500,525,92.8,94.48,6.4,4,0,0,0,0,0,0.57,0.4,0.76,0.4,0.19,466,494,0,0,25,23,0,2,0,0,5,4,4,2,500,525,93.2,94.1,0,0,5,4.38,0,0.38,0,0,1,0.76,0.8,0.38,447,466,45,37,6,22,6,7,504,532,88.69,87.59,8.93,6.95,1.19,4.14,1.19,1.32,476,505,6,11,9,0,0,1,491,517,96.95,97.68,1.22,2.13,1.83,0,0,0.19,15,8,4,3,0,0,53.33,26.67,20,0,0,15,0,6,0,9,0,40,0,60
23,023 Cranemore,Carlow,SE,South-East,Southern,767,862,43,41,34,111,0,0,15,29,15,20,874,1063,87.76,81.09,4.92,3.86,3.89,10.44,0,0,1.72,2.73,1.72,1.88,793,873,18,19,35,129,0,0,15,27,9,9,4,6,874,1063,90.73,82.13,2.06,1.79,4,12.14,0,0,1.72,2.54,1.03,0.85,0.46,0.56,769,824,20,38,76,178,0,0,5,3,2,8,2,12,874,1063,87.99,77.52,2.29,3.57,8.7,16.75,0,0,0.57,0.28,0.23,0.75,0.23,1.13,714,835,149,176,25,43,5,13,893,1067,79.96,78.26,16.69,16.49,2.8,4.03,0.56,1.22,748,981,27,15,60,31,31,8,866,1035,86.37,94.78,3.12,1.45,6.93,3,3.58,0.77,180,40,66,47,23,4,22.22,36.67,26.11,12.78,2.22,180,128,7,0,45,71.11,3.89,0,25
24,024 Fennagh,Carlow,SE,South-East,Southern,489,678,20,36,0,5,0,2,2,4,2,11,513,736,95.32,92.12,3.9,4.89,0,0.68,0,0.27,0.39,0.54,0.39,1.49,493,693,13,21,0,5,0,2,2,4,4,6,1,5,513,736,96.1,94.16,2.53,2.85,0,0.68,0,0.27,0.39,0.54,0.78,0.82,0.19,0.68,497,684,0,0,14,36,0,2,0,3,2,5,0,6,513,736,96.88,92.93,0,0,2.73,4.89,0,0.27,0,0.41,0.39,0.68,0,0.82,464,633,45,63,6,35,1,5,516,736,89.92,86.01,8.72,8.56,1.16,4.76,0.19,0.68,481,673,16,41,8,2,4,4,509,720,94.5,93.47,3.14,5.69,1.57,0.28,0.79,0.56,41,24,12,3,0,2,58.54,29.27,7.32,0,4.88,41,3,8,3,27,7.32,19.51,7.32,65.85
25,025 Garryhill,Carlow,SE,South-East,Southern,546,536,23,40,0,0,0,4,3,1,4,3,576,584,94.79,91.78,3.99,6.85,0,0,0,0.68,0.52,0.17,0.69,0.51,555,560,9,13,0,0,0,4,3,0,2,3,7,4,576,584,96.35,95.89,1.56,2.23,0,0,0,0.68,0.52,0,0.35,0.51,1.22,0.68,552,559,0,0,8,15,4,0,1,0,1,4,10,6,576,584,95.83,95.72,0,0,1.39,2.57,0.69,0,0.17,0,0.17,0.68,1.74,1.03,534,547,29,30,10,9,5,3,578,589,92.39,92.87,5.02,5.09,1.73,1.53,0.87,0.51,534,554,22,10,8,7,5,2,569,573,93.85,96.68,3.87,1.75,1.41,1.22,0.88,0.35,26,12,4,4,0,6,46.15,15.38,15.38,0,23.08,26,0,12,4,10,0,46.15,15.38,38.46
26,026 Grangeford,Carlow,SE,South-East,Southern,303,374,12,23,1,5,0,0,2,9,6,11,324,422,93.52,88.63,3.7,5.45,0.31,1.18,0,0,0.62,2.13,1.85,2.61,304,385,8,12,1,5,0,0,1,9,7,10,3,1,324,422,93.83,91.23,2.47,2.84,0.31,1.18,0,0,0.31,2.13,2.16,2.37,0.93,0.24,306,366,0,5,9,31,0,1,3,7,3,5,3,7,324,422,94.44,86.73,0,1.18,2.78,7.35,0,0.24,0.93,1.66,0.93,1.18,0.93,1.66,282,357,35,43,5,21,2,3,324,424,87.04,84.2,10.8,10.14,1.54,4.95,0.62,0.71,275,374,18,24,21,14,6,6,320,418,85.94,89.47,5.63,5.74,6.56,3.35,1.88,1.44,28,18,8,2,0,0,64.29,28.57,7.14,0,0,28,5,2,0,21,17.86,7.14,0,75
27,027 Johnstown,Carlow,SE,South-East,Southern,507,540,17,21,0,0,0,0,1,1,6,7,531,569,95.48,94.9,3.2,3.69,0,0,0,0,0.19,0.18,1.13,1.23,518,553,4,7,0,0,0,0,1,1,2,6,6,2,531,569,97.55,97.19,0.75,1.23,0,0,0,0,0.19,0.18,0.38,1.05,1.13,0.35,517,527,0,17,6,9,0,4,0,1,1,1,7,10,531,569,97.36,92.62,0,2.99,1.13,1.58,0,0.7,0,0.18,0.19,0.18,1.32,1.76,475,510,45,38,5,12,7,9,532,569,89.29,89.63,8.46,6.68,0.94,2.11,1.32,1.58,497,538,10,16,12,8,3,4,522,566,95.21,95.05,1.92,2.83,2.3,1.41,0.57,0.71,20,13,2,0,0,5,65,10,0,0,25,20,0,7,0,13,0,35,0,65
28,028 Kellistown,Carlow,SE,South-East,Southern,947,916,53,48,2,1,3,1,4,12,21,15,1030,993,91.94,92.25,5.15,4.83,0.19,0.1,0.29,0.1,0.39,1.21,2.04,1.51,989,962,15,14,2,1,3,1,4,9,11,2,6,4,1030,993,96.02,96.88,1.46,1.41,0.19,0.1,0.29,0.1,0.39,0.91,1.07,0.2,0.58,0.4,985,944,1,1,15,32,1,0,1,1,14,0,13,15,1030,993,95.63,95.07,0.1,0.1,1.46,3.22,0.1,0,0.1,0.1,1.36,0,1.26,1.51,960,913,58,57,10,23,7,8,1035,1001,92.75,91.21,5.6,5.69,0.97,2.3,0.68,0.8,969,954,25,23,10,4,10,2,1014,983,95.56,97.05,2.47,2.34,0.99,0.41,0.99,0.2,29,18,5,6,0,0,62.07,17.24,20.69,0,0,29,2,7,0,20,6.9,24.14,0,68.97
29,029 Kilbride,Carlow,SE,South-East,Southern,344,399,22,21,9,17,0,0,4,3,6,8,385,448,89.35,89.06,5.71,4.69,2.34,3.79,0,0,1.04,0.67,1.56,1.79,350,406,15,10,9,17,0,0,2,2,8,4,1,9,385,448,90.91,90.63,3.9,2.23,2.34,3.79,0,0,0.52,0.45,2.08,0.89,0.26,2.01,352,398,0,3,25,33,0,0,4,4,1,2,3,8,385,448,91.43,88.84,0,0.67,6.49,7.37,0,0,1.04,0.89,0.26,0.45,0.78,1.79,325,362,36,49,21,31,3,7,385,449,84.42,80.62,9.35,10.91,5.45,6.9,0.78,1.56,360,425,7,10,10,5,2,1,379,441,94.99,96.37,1.85,2.27,2.64,1.13,0.53,0.23,33,7,12,11,1,2,21.21,36.36,33.33,3.03,6.06,33,16,6,0,11,48.48,18.18,0,33.33
30,030 Killedmond,Carlow,SE,South-East,Southern,369,377,21,34,3,0,0,2,7,5,7,5,407,423,90.66,89.13,5.16,8.04,0.74,0,0,0.47,1.72,1.18,1.72,1.18,372,395,14,19,4,0,0,2,8,5,5,1,4,1,407,423,91.4,93.38,3.44,4.49,0.98,0,0,0.47,1.97,1.18,1.23,0.24,0.98,0.24,368,393,0,0,26,25,0,0,3,0,3,3,7,2,407,423,90.42,92.91,0,0,6.39,5.91,0,0,0.74,0,0.74,0.71,1.72,0.47,352,354,48,45,7,20,2,5,409,424,86.06,83.49,11.74,10.61,1.71,4.72,0.49,1.18,368,391,16,7,16,9,4,10,404,417,91.09,93.76,3.96,1.68,3.96,2.16,0.99,2.4,17,12,1,2,0,2,70.59,5.88,11.76,0,11.76,17,0,1,0,16,0,5.88,0,94.12
