822,050 Ardmulchan,Meath,Eastern and Midlands,11,1.08,15.17,6.5,872,92.18,95.56,0.32,94.2,0
823,051 Bective,Meath,Eastern and Midlands,17,0.7,17.16,9,1031,91.24,95.49,0.35,92.31,8.57
824,052 Castletown,Meath,Eastern and Midlands,8,1.8,12.76,3.6,919,91.26,94.54,0.1,88.59,3.77
825,053 Domhnach Phˆdraig,Meath,Eastern and Midlands,12,1.27,14.61,6.08,1623,93.38,96.55,0,94.37,0
942,079 Rahan,Offaly,Eastern and Midlands,7,2.18,13.73,5.01,670,93.18,95.55,0.28,95.83,0
943,080 Raheenakeeran,Offaly,Eastern and Midlands,2,0.34,6.38,2.68,377,89.34,93.13,0.71,91.27,0
944,081 Rathfeston,Offaly,Eastern and Midlands,2,0.7,13.33,3.86,421,95.68,97.05,0,92.5,0
945,082 Rathrobin,Offaly,Eastern and Midlands,3,0.78,10.2,3.14,375,93.52,95.26,0,94.29,0
946,083 Screggan,Offaly,Eastern and Midlands,10,1.6,15.02,8.31,1343,92.49,95.94,0.07,93.64,0
947,084 Silverbrook,Offaly,Eastern and Midlands,5,1.74,14.97,8.03,676,94.81,97.05,0.14,94.84,7.14
948,085 Tinamuck,Offaly,Eastern and Midlands,2,0,11.73,1.68,236,90.42,95.4,1.15,96.55,0
949,086 Tinnycross,Offaly,Eastern and Midlands,6,1.71,17.41,5.8,424,93.39,97.8,0.22,93.89,0
950,087 Tullamore Rural,Offaly,Eastern and Midlands,27,1.59,21.15,10.36,2045,68.19,70.62,10.57,80.86,4.91
951,001 Athlone East Urban,Westmeath,Eastern and Midlands,33,1.96,14.64,8.19,2915,74.29,76.17,5.4,77.25,3.24
952,002 Athlone West Urban,Westmeath,Eastern and Midlands,22,1.76,11.3,5.74,2520,80.51,82.78,4.82,85.43,4.91
953,003 Athlone East Rural,Westmeath,Eastern and Midlands,62,1.7,18.01,9.38,5263,73.5,76.02,6.28,78.92,3.65
954,004 Auburn,Westmeath,Eastern and Midlands,3,0.85,19.87,7.91,643,91.34,96.45,0.43,93.54,0
955,005 Ballybroder,Westmeath,Eastern and Midlands,3,0.66,10.6,5.3,229,97.03,98.31,0,94.98,0
956,006 Bellanalack,Westmeath,Eastern and Midlands,5,0.28,16.38,8.47,496,88.57,92.32,2.86,93.25,3.7
957,007 Carn,Westmeath,Eastern and Midlands,5,1.28,15.35,5.97,706,94.89,97.58,0,92.01,0
958,008 Castledaly,Westmeath,Eastern and Midlands,2,1.47,15.34,5.25,620,93.09,97.45,0.3,96.3,0
1037,088 Milltown,Westmeath,Eastern and Midlands,1,0,6.63,2.76,254,86.1,92.2,1.36,90,6.67
1038,089 Mullingar Rural,Westmeath,Eastern and Midlands,100,1.14,18.87,8.16,8077,78.31,81.41,3.64,83.99,3.1
1039,090 Mullingar North Urban,Westmeath,Eastern and Midlands,36,1.8,10.03,3.25,4034,76.44,78.32,5.78,86.04,4.92
1040,091 Mullingar South Urban,Westmeath,Eastern and Midlands,55,1.86,16.77,8.3,3112,76.92,79.09,5.19,84.92,3.76
1041,092 Multyfarnham,Westmeath,Eastern and Midlands,1,1.16,13.69,10.21,517,85.88,88.87,0.66,87.6,0
1042,093 Newtown,Westmeath,Eastern and Midlands,3,1.33,18,7.33,207,97.18,99.53,0,95.83,0
1043,094 Owel,Westmeath,Eastern and Midlands,1,1.28,21.15,6.73,398,94.76,96.9,0,94.06,0
